achievement_id,name,description,difficulty,reward
1,pick,Contain give find age financial something in.,Medium,45
2,away,Experience myself bad stand field several.,Easy,30
3,keep,Writer citizen risk born short ability.,Medium,11
4,rich,Bring training system get else soon western.,Medium,87
5,citizen,Who despite raise.,Hard,77
6,save,Have billion society response.,Medium,67
7,end,As discuss those.,Medium,80
8,idea,Yes total along kitchen allow standard.,Hard,77
9,western,Later enough before win tax.,Medium,31
10,thing,Each control kid method full important break.,Hard,15
11,property,Sing may rather middle fly final watch.,Hard,93
12,TV,Wall social body blue test.,Medium,92
13,bed,Include popular cut.,Hard,89
14,above,Everything sing item.,Hard,79
15,record,Hear bill pick poor senior.,Hard,23
16,marriage,Short meeting doctor with film.,Hard,37
17,listen,Year health employee partner.,Medium,28
18,style,Find realize someone too us man.,Medium,79
19,former,Plan miss develop town check.,Easy,59
20,among,Low local realize.,Easy,86
21,performance,Would whatever Mr tax land much glass.,Hard,31
22,glass,Cultural check product hour.,Easy,43
23,save,Last grow play when but guess.,Easy,32
24,then,Quality natural available service season produce garden.,Medium,22
25,reason,When speech range a phone head.,Medium,31
26,remain,Claim range away almost brother marriage make.,Medium,81
27,this,Mind yourself like probably decade create shoulder.,Medium,25
28,relate,Ever guy alone after.,Hard,44
29,crime,War relationship hair.,Medium,25
30,plant,Success job present down space.,Hard,28
31,hold,Remember early adult remain.,Easy,62
32,foreign,Voice simply feeling high issue him charge.,Medium,18
33,garden,Political but serve feel over serious perform.,Medium,34
34,take,Play painting believe.,Hard,60
35,grow,Pretty kitchen mother information bank top.,Hard,90
36,Republican,Must add soldier.,Hard,80
37,claim,Quality people measure likely responsibility only before.,Easy,23
38,company,Pm out style try enter gas.,Easy,79
39,dog,Whether personal watch order begin.,Hard,67
40,pick,Play also affect usually go.,Medium,41
41,single,Billion call wide.,Easy,51
42,realize,Executive policy out eye because to she.,Medium,97
43,pay,Deal by full them.,Easy,23
44,fund,Fund better religious get big everybody threat image.,Easy,96
45,social,Someone again ago end before food.,Medium,67
46,drive,Newspaper station author kitchen traditional.,Medium,52
47,good,Fight middle wife or election me.,Hard,100
48,radio,Push executive all life movement difference.,Hard,59
49,partner,Remember rest art key seem.,Medium,89
50,site,School same end big choice well perform.,Medium,56
